time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1462858996,2001:470:83ae:2:212:6d02::400f,1,0,0,0,0,0,0,1,0,0,0,0
1462858996,2001:470:83ae:2:212:6d02::400f,2,2,2,1,0,1,0,1,0,0,0,0
1462858996,2001:470:83ae:2:212:6d02::400f,3,3,3,2,0,0,0,1,0,0,0,0
1462858997,2001:470:83ae:2:212:6d02::400f,4,2,2,1,0,1,0,1,0,0,0,0
1462858997,2001:470:83ae:2:212:6d02::400f,5,2,2,1,0,0,0,1,0,0,0,0
1462858997,2001:470:83ae:2:212:6d02::400f,6,1,1,1,0,0,0,1,0,0,0,0
1462858997,2001:470:83ae:2:212:6d02::400f,7,2,2,1,0,0,0,1,0,0,0,0
1462858997,2001:470:83ae:2:212:6d02::400f,8,1,1,1,0,0,0,1,0,0,0,0
1462858998,2001:470:83ae:2:212:6d02::400f,9,2,2,1,0,0,0,1,0,0,0,0
1462858998,2001:470:83ae:2:212:6d02::400f,10,0,0,0,0,0,0,1,0,0,0,0
1462858998,2001:470:83ae:2:212:6d02::400f,11,1,1,0,0,0,0,1,0,0,0,0
1462858998,2001:470:83ae:2:212:6d02::400f,12,1,1,1,0,0,0,1,0,0,0,0
1462858998,2001:470:83ae:2:212:6d02::400f,13,1,1,0,0,0,0,1,0,0,0,0
1462858999,2001:470:83ae:2:212:6d02::400f,14,0,0,0,0,0,0,1,0,0,0,0
1462858999,2001:470:83ae:2:212:6d02::400f,15,1,1,0,0,0,0,1,0,0,0,0
1462858999,2001:470:83ae:2:212:6d02::400f,16,0,0,0,0,0,0,1,0,0,0,0
1462858999,2001:470:83ae:2:212:6d02::400f,17,1,1,0,0,0,0,1,0,0,0,0
1462858999,2001:470:83ae:2:212:6d02::400f,18,1,1,1,0,0,0,1,0,0,0,0
1462859000,2001:470:83ae:2:212:6d02::400f,19,1,1,0,0,0,0,1,0,0,0,0
1462859000,2001:470:83ae:2:212:6d02::400f,20,0,0,0,0,0,0,1,0,0,0,0
1462859000,2001:470:83ae:2:212:6d02::400f,21,1,1,0,0,0,0,1,0,0,0,0
1462859000,2001:470:83ae:2:212:6d02::400f,22,0,0,0,0,0,0,1,0,0,0,0
1462859000,2001:470:83ae:2:212:6d02::400f,23,1,1,0,0,0,0,1,0,0,0,0
1462859001,2001:470:83ae:2:212:6d02::400f,24,0,0,0,0,0,0,1,0,0,0,0
1462859001,2001:470:83ae:2:212:6d02::400f,25,1,1,0,0,0,0,1,0,0,0,0
1462859001,2001:470:83ae:2:212:6d02::400f,26,0,0,0,0,0,0,1,0,0,0,0
1462859002,2001:470:83ae:2:212:6d02::400f,27,2,2,1,0,0,0,1,0,0,0,0
